Roux Jodoin, Kasterleesteenweg,215,7120,Vellereille-le-Sec,0485 36 61 21,13/5/1986,RouxJodoin@jourrapide.com,Lextre,AhM0rohvahT,50.342935, 4.14196
Capucine Quirion, Maskenstraat,17,8300,Knokke,0483 24 97 83,15/2/1966,CapucineQuirion@dayrep.com,Trater,eiGhee1Sh,51.348185, 3.218696
Noémi Desroches, Courtensdreef,55,3191,Hever,0498 62 59 46,16/1/1978,NoemiDesroches@rhyta.com,Handep,xo0Ruray,51.020416, 4.452527
Magnolia Deschamps, Ringlaan,372,8380,Dudzele,0488 92 98 21,6/2/1996,MagnoliaDeschamps@rhyta.com,Noce1996,Ufai3yai,51.210096, 3.268876
Nicolette Frappier, Rue de la Rulles,404,6870,Saint-Hubert,0497 16 73 62,1/5/1975,NicoletteFrappier@dayrep.com,Sublarton,AhGhoht6vei,50.179559, 5.396289
Fleur Boulé, Avenue Huart Hamoir,235,1501,Buizingen,0488 98 74 70,17/9/1983,FleurBoule@rhyta.com,Spoess,reiLecoh1k,50.66624, 4.157647
Marie Tardif, Jagerij,454,2328,Meerle,0473 55 03 91,19/1/2002,MarieTardif@rhyta.com,Havere02,PaiWai3zai,51.416994, 4.817613
Amorette Lécuyer, Poolse Winglaan,315,8200,Sint-Michiels,0477 98 24 96,16/11/1999,AmoretteLecuyer@jourrapide.com,Houldid,Ii2Aikie9,51.192321, 3.203778
Agate Paiement, Rue du Moulin,403,7170,Fayt-lez-Manage,0473 35 05 00,25/4/1981,AgatePaiement@armyspy.com,Evies1981,fai4eeCh,50.511024, 4.158338
Jeanette Rossignol, Rue du Moulin,30,7120,Fauroeulx,0485 87 99 09,9/11/1959,JeanetteRossignol@rhyta.com,Evor1959,oDe0Wa3ae,50.306739, 4.071785
Musette Lagacé, Taille Maréchal,373,5500,Furfooz,0481 34 56 02,13/9/1985,MusetteLagace@teleworm.us,Sombled,nohyei6Ee,50.195887, 4.889197
Aceline Langlais, Booischotseweg,364,5600,Jamiolle,0479 48 80 28,18/11/1983,AcelineLanglais@teleworm.us,Anstely,RorahWaGh7,50.261732, 4.5021
Thérèse Duclos, Rue Leval,246,6781,Sélange,0489 69 98 03,11/6/1994,ThereseDuclos@jourrapide.com,Exul1994,dae2say9Vae,49.648696, 5.93863
Demi Charron, Rue du Château,362,9080,Lochristi,0479 51 90 18,19/1/1956,DemiCharron@rhyta.com,Yough1956,eiTh6eeP,51.102079, 3.947113
Anaïs Leclair, Rue de Piétrain,405,7022,Nouvelles,0491 78 51 33,1/4/2001,AnaisLeclair@rhyta.com,Othrom2001,Ri5ei7Ee,50.522444, 3.972156
Magnolia Lamare, Chaussée de Wavre,342,6533,Biercée,0477 76 72 46,27/6/1969,MagnoliaLamare@teleworm.us,Spong1969,ieboo2EiW5,50.28099, 4.301596
Blanche Guibord, Blancefloerlaan,305,6700,Bonnert,0475 66 15 74,29/7/2002,BlancheGuibord@dayrep.com,Gince2002,ies1ned3U,49.659039, 5.894232
Belisarda Jalbert, Hauwaart,136,9800,Meigem,0485 24 73 04,9/11/1985,BelisardaJalbert@jourrapide.com,Fornew,Rah0Moch6,51.05214, 3.487017
Paulette Guibord, Rue du Bienne,7,9420,Ottergem,0479 92 86 94,11/9/1966,PauletteGuibord@armyspy.com,Whippercunch,quohhe1El2,51.009163, 4.042564
Anne Chauvet, Rue Fosse Piron,149,1370,Saint-Remy-Geest,0487 85 81 36,30/10/1987,AnneChauvet@dayrep.com,Thaters,Phoh7uvai,50.816292, 4.898043
Baptiste Racicot, Stationsstraat,276,7801,Irchonwelz,0478 27 24 73,20/11/1962,BaptisteRacicot@teleworm.us,Offirtansay,pheaHohfob9,50.611625, 3.794644
Christiane Tisserand, Rue Dielhère,76,2520,Ranst,0483 95 72 11,1/1/1991,ChristianeTisserand@jourrapide.com,Whar1991,ahph5uPae9s,51.266168, 4.511358
Natalie Guibord, Lange Elzenstraat,439,2870,Breendonk,0484 13 35 14,4/4/1953,NatalieGuibord@teleworm.us,Wittiuse,Iyoo3peiL6,51.026798, 4.350021
Rosamonde Covillon, Kapelaniestraat,88,9700,Leupegem,0482 53 72 03,6/11/1969,RosamondeCovillon@jourrapide.com,Thowas,oof8quahMai,50.872633, 3.626029
Susanne Ricard, Rue des Honnelles,254,4432,Xhendremael,0474 35 07 31,1/12/1974,SusanneRicard@armyspy.com,Tileords,mii4Pae4Noo,50.767754, 5.56524
Holly DuLin, Amerveldstraat,248,7624,Howardries,0473 78 42 06,16/11/1976,HollyDuLin@jourrapide.com,Micketionath,sieY6qui5oo,50.595175, 3.476821
Mireille Sylvain, Aven Ackers,203,7040,Bougnies,0487 48 75 95,19/7/1979,MireilleSylvain@jourrapide.com,Candievely,Nae6ii6see,50.306492, 3.989019
Nadine Beauchesne, Kasterleesteenweg,481,2431,Veerle,0499 75 77 93,1/12/1954,NadineBeauchesne@jourrapide.com,Theld1954,aingid0Ee,51.08768, 4.927744
Bradamate Bousquet, Avenue Huart Hamoir,323,6927,Bure,0491 38 29 58,4/11/1971,BradamateBousquet@jourrapide.com,Thathee,gahShoo5Soo,50.071863, 5.377663
Didiane Givry, Rue du Bourgmestre Dandoy,419,9500,Onkerzele,0497 30 48 59,11/10/1951,DidianeGivry@rhyta.com,Pesellai,Bee1voor,50.903503, 3.945683
Merci Lebel, Strepestraat,51,4910,Reid,0483 44 94 67,13/11/1967,MerciLebel@rhyta.com,Overearrever,quae4Chuu,50.564405, 5.829197
Cendrillon Roussel, Tienne à Many,455,5190,Ham-sur-Sambre,0484 18 65 62,14/2/1991,CendrillonRoussel@jourrapide.com,Illaitty,aiMeexo2Rohsh,50.442004, 4.82316
Minette Pomerleau, Putstraat,259,3800,Sint-Truiden,0493 67 75 60,10/1/1981,MinettePomerleau@jourrapide.com,Dideseld,ooTeiroh6v,50.765233, 5.251228
Lirienne Mazuret, Pierre Delannoyplaats,8,8587,Espierres,0481 99 83 69,3/9/1960,LirienneMazuret@teleworm.us,Quital,ohG0reiCe4,50.828283, 3.472092
Leala Paré, Rostsestraat,220,7080,Frameries,0489 15 53 90,12/8/1976,LealaPare@armyspy.com,Mety1976,eeTh7osh4sie,50.313399, 3.928617
Sibyla Levasseur, Perksesteenweg,287,5190,Moustier-sur-Sambre,0474 13 71 96,22/12/1996,SibylaLevasseur@jourrapide.com,Thethe96,lahK3keeLae,50.538122, 4.796162
Ancelote Devost, Rue de Bouillon,413,1850,Grimbergen,0487 70 14 39,30/9/1993,AnceloteDevost@armyspy.com,Foloot,neeMa4ch,50.915852, 4.40213
Roxanne Salois, Rue du Bourgmestre Dandoy,37,8710,Ooigem,0497 47 86 42,22/8/1960,RoxanneSalois@jourrapide.com,Hicip1960,OoX4aiQuu,50.879821, 3.42094
Maurelle Labonté, Rue de Fontigny,25,6769,Robelmont,0499 24 39 31,23/10/1990,MaurelleLabonte@jourrapide.com,Morts1990,eeKooxae2piz,49.51033, 5.544917
Phillipa Martineau, Mandemakersstraat,12,9230,Wetteren,0482 20 18 33,10/4/1977,PhillipaMartineau@armyspy.com,Serthe77,agohl5Ie,51.067732, 3.910315
Noelle Faure, Rue du Chapy,147,8560,Gullegem,0491 16 33 31,16/8/2007,NoelleFaure@jourrapide.com,Hissigh,Aeni1saefai,50.742509, 3.26188
Angelette Michaud, Alsembergsesteenweg,257,1457,Nil-St-Vincent-St-Martin,0495 15 58 90,7/2/1965,AngeletteMichaud@armyspy.com,Shetua,yiej3EiGhi,50.585102, 4.643524
Madeleine Trottier, Chaussée de Tirlemont,146,7910,Wattripont,0491 43 79 41,13/2/1966,MadeleineTrottier@rhyta.com,Awithist,Kaideeh9mah,50.506015, 3.699265
Florence Chastain, Blekersdijk,27,3540,Donk,0470 46 93 16,2/5/2003,FlorenceChastain@jourrapide.com,Histeland,azivieD5ceuph,50.874808, 5.011191
Christelle Godin, Lodorp,266,6852,Maissin,0481 47 52 36,14/8/1996,ChristelleGodin@armyspy.com,Suldand,Cuongo5ah,49.880008, 5.214419
Vignette Dufour, Tiegemberg,4,4263,Tourinne,0474 64 68 69,5/9/1996,VignetteDufour@jourrapide.com,Loven1996,eedooGee5,50.567601, 5.14312
Jewel Senneville, Taille Maréchal,269,3450,Geetbets,0485 99 69 82,3/9/1971,JewelSenneville@rhyta.com,Lonlied1971,Sahlav8u,50.827593, 5.139063
Geneviève Lespérance, Bessenveldstraat,168,7000,Mons,0491 34 22 19,8/4/1964,GenevieveLesperance@teleworm.us,Conise1964,weiko4Eeb9,50.453599, 4.037471
Laurette Chicoine, Rue du Presbytère,87,4340,Villers-l'Evêque,0475 46 86 79,8/9/1980,LauretteChicoine@dayrep.com,Wilts1980,eiVaetae2,50.704228, 5.510933
Antoinette Duperré, Schoolstraat,139,4020,Wandre,0480 11 62 49,11/12/1950,AntoinetteDuperre@armyspy.com,Debafrould,Uralee1poo2,50.552064, 5.526134
Natalie Collin, Maskenstraat,102,2560,Kessel,0470 39 84 66,21/8/1973,NatalieCollin@dayrep.com,Bersed,ahWi9mee,51.112213, 4.674953
Aceline Mailloux, Rue du Bourgmestre Dandoy,196,7866,Ollignies,0481 13 28 76,27/5/1963,AcelineMailloux@armyspy.com,Oriese,jeipha4Oo,50.685384, 3.862912
Marguerite Gagnon, Avenue Emile Vandervelde,67,3370,Roosbeek,0492 71 60 35,23/5/1969,MargueriteGagnon@dayrep.com,Reares,iepuaWei4,50.852819, 4.905165
Aimée Mailloux, Rue Bouhouille,476,1703,Schepdaal,0478 44 04 07,23/3/1977,AimeeMailloux@armyspy.com,Succur,aes5Ei6huQu,50.860109, 4.205595
Ophelia Parenteau, Grote Baan,119,8581,Kerkhove,0482 15 87 12,7/1/1996,OpheliaParenteau@dayrep.com,Wastures,iez0Dah3oung,50.858598, 3.422025
Babette Bonsaint, Rue de Bouillon,428,6840,Grandvoir,0486 89 68 95,5/10/1950,BabetteBonsaint@armyspy.com,Troys1950,wi4eC5Vei,49.917842, 5.395622
Creissant Gilbert, Oostjachtpark,382,7760,Celles,0485 13 19 06,15/11/1997,CreissantGilbert@teleworm.us,Witimpat,Ohrah0Ae,50.703173, 3.352113
Searlait Abril, Stationsstraat,356,8691,Izenberge,0491 81 77 66,2/10/1995,SearlaitAbril@rhyta.com,Wher1995,ahfu6Tea1Ah,50.959609, 2.691717
Frédérique Rocheleau, Rue des Laderies,238,6280,Villers-Poterie,0496 63 73 92,23/1/1983,FrederiqueRocheleau@rhyta.com,Kinglace,Ka8aeBai4,50.425962, 4.414011
Diane Chalifour, De Veurs Comberg,62,9250,Waasmunster,0480 24 37 28,27/1/1996,DianeChalifour@teleworm.us,Thaime1996,Ohcai8oht2,51.131441, 3.98794
Rachelle Lanctot, Rue de Fromelenne,325,5030,Gembloux,0474 33 05 14,28/9/1992,RachelleLanctot@teleworm.us,Thadvank,eicooqu9iNg,50.617059, 4.770978
Maureen Duhamel, Rue Fouramont,125,6720,Habay-la-Neuve,0473 16 02 91,2/7/1995,MaureenDuhamel@jourrapide.com,Ofron1995,nu1CaiChee,49.62769, 5.600859
Dorene Gagnon, Hauwaart,357,4633,Melen,0473 21 54 18,15/5/2002,DoreneGagnon@armyspy.com,Swilifewouse,ohV7eufuPh,50.737287, 5.832917
Eloise Leclerc, Rue Grande,42,5377,Baillonville,0480 23 55 03,26/5/1977,EloiseLeclerc@dayrep.com,Siriand1977,eXai1oche,50.427116, 5.282134
Florence Cousteau, Rue du Bois Colau,376,8800,Oekene,0487 78 31 71,14/8/1981,FlorenceCousteau@armyspy.com,Makered2,resh3Exo7ae,51.046156, 3.172838
Chantal Pelletier, Rue du Centre,40,8720,Markegem,0476 83 42 31,31/5/1950,ChantalPelletier@jourrapide.com,Derving,Aahe8zarei,51.063631, 3.431774
Harriette Baron, Nieuwe Baan,158,6941,Bende,0487 26 48 29,19/2/1975,HarrietteBaron@teleworm.us,Muctile75,aiF1dei2Ai,50.31782, 5.641825
Blanchefle Jacques, Rue du Moulin,98,5570,Felenne,0484 51 58 26,7/7/1960,BlanchefleJacques@rhyta.com,Notartinge,Hee3ahyah,50.06462, 4.945306
France Marcheterre, Pont du Chêne,29,7620,Bléharies,0497 37 75 24,23/3/1958,FranceMarcheterre@rhyta.com,Extan1958,Yie0esie2wa,50.478347, 3.577586
Christabel Grandbois, Korte Noordsstraat,195,4280,Trognée,0472 14 51 57,12/10/2005,ChristabelGrandbois@rhyta.com,Reaver,eiral7AhGh,50.658557, 5.18619
Pansy Lacroix, Rue Engeland,21,3670,Neerglabbeek,0495 74 88 25,26/8/1980,PansyLacroix@jourrapide.com,Coureard,gaekiep1Vi,51.032782, 5.591417
Royale Desforges, Amerveldstraat,457,9630,Hundelgem,0497 16 98 28,5/3/2000,RoyaleDesforges@teleworm.us,Soublartand,aey4oozeeLah,50.829669, 3.751437
Cammile Chalut, Witbakkerstraat,205,9982,Sint-Jan-in-Eremo,0493 76 74 93,17/3/1986,CammileChalut@rhyta.com,Expareasse,faeVo8Gu4,51.323983, 3.601766
Eglantine Moreau, Strepestraat,188,4910,Reid,0499 61 66 84,22/8/1951,EglantineMoreau@rhyta.com,Docculd,as4kash2Oh,50.603193, 5.960079
Hilaire Quiron, Jagerij,50,2328,Meerle,0479 97 95 49,6/7/1970,HilaireQuiron@armyspy.com,Almyconver,Aemawe9io,51.373346, 4.704637
Armina Gamelin, Maskenstraat,34,1755,Kester,0484 32 13 83,11/3/2004,ArminaGamelin@armyspy.com,Magesentrage,ielo8ohsaT8,50.707601, 4.061825
Methena Grenier, Langestraat,391,6642,Juseret,0495 70 36 91,25/6/1965,MethenaGrenier@armyspy.com,Stoody,oiPh3jai8Ah,49.883077, 5.60009
Brigitte Pelletier, Rue du Thisnes,493,8647,Reninge,0474 51 00 30,22/9/1984,BrigittePelletier@jourrapide.com,Samintme,ohkaeJai7sh,50.982498, 2.75604
Crescent Piedalue, Rue Fosse Piron,180,7912,Saint-Sauveur,0476 62 50 95,5/4/2001,CrescentPiedalue@armyspy.com,Prety2001,fo7Ot5aex,50.532175, 3.765203
Brunella Bondy, Touwslagerstraat,391,8470,Zevekote,0471 52 79 96,12/11/1970,BrunellaBondy@armyspy.com,Forling,ahce3Zah6ep,51.18784, 2.848949
Marcelle Daoust, Eikstraat,42,6672,Beho,0486 94 94 91,12/1/1951,MarcelleDaoust@dayrep.com,Monge1951,inoo3kea4Ee,50.154364, 5.939875
Medoro Gendron, Rue Grande,163,4630,Ayeneux,0480 87 70 21,30/8/1960,MedoroGendron@teleworm.us,Eace1960,Aijudae6qu,50.587071, 5.619255
Luce Simon, Boulevard General Wahis,266,4550,Nandrin,0480 12 57 06,23/3/2007,LuceSimon@teleworm.us,Mannot,Shi3sahcie2,50.631183, 5.479497
Favor Beaudouin, Rue du Centre,43,8720,Markegem,0483 91 90 63,22/9/1958,FavorBeaudouin@dayrep.com,Freace,Eiqu5Geoth,51.004699, 3.383633
Auda Beauchamps, Boulevard General Wahis,430,6120,Nalinnes,0493 34 21 19,13/12/1963,AudaBeauchamps@rhyta.com,Raing1963,ahfaiD6z,50.354882, 4.280395
Jeannine Marseau, Pierre Delannoyplaats,236,7120,Estinnes,0497 95 04 00,22/12/1981,JeannineMarseau@rhyta.com,Usplany,nai8xaeWaoc,50.317811, 3.99225
Laure Casgrain, Putstraat,154,4450,Slins,0487 84 40 67,30/6/2001,LaureCasgrain@armyspy.com,Pire2001,GeeG9the,50.625783, 5.572122
Jeannine Bourgouin, Lange Elzenstraat,238,7620,Brunehaut,0484 94 74 48,16/10/1957,JeannineBourgouin@jourrapide.com,Thruseell,Eekeic1i,50.637059, 3.400943
Yolande Laderoute, Rue Engeland,269,9660,Nederbrakel,0475 29 93 05,8/3/1975,YolandeLaderoute@dayrep.com,Dunneve,xaiV7kahf,50.882521, 3.732564
Anouk René, Kerkstraat,79,4280,Bertrée,0488 52 47 79,14/12/1955,AnoukRene@dayrep.com,Nincen,he4Roo5dohtoh,50.72293, 5.05419
Anouk Brasseur, Rue Dielhère,290,7804,Rebaix,0474 42 48 68,8/10/1976,AnoukBrasseur@teleworm.us,Teaks1976,vauRip7j,50.67847, 3.71533
Agnès Lejeune, Nieuwe Baan,477,1674,Bellingen,0495 98 57 81,27/7/1962,AgnesLejeune@rhyta.com,Ableave,Ood9ecoon,50.845804, 4.073168
Alacoque Lafond, Noordstraat,151,4653,Bolland,0486 39 43 47,10/1/1985,AlacoqueLafond@rhyta.com,Talsofurn1985,ohjie0meSh,50.74461, 5.797115
Nicolette Corbeil, Rue Fouramont,60,6792,Halanzy,0481 26 13 64,30/3/1954,NicoletteCorbeil@teleworm.us,Sirsee,ohliesa7Wae,49.695852, 5.820075
Victoire Vincent, Rue de Liège,109,6463,Lompret,0470 11 20 89,27/10/1971,VictoireVincent@rhyta.com,Sappike,oor3aizi7C,50.159286, 4.376115
Adélaïde Brasseur, Machelsesteenweg,366,3740,Mopertingen,0481 36 14 03,26/5/1968,AdelaideBrasseur@rhyta.com,Ambegrout,aif0shoh7Au,50.889005, 5.511546
Yseult Chalifour, Rue de Boneffe,353,6852,Opont,0478 16 56 95,10/1/1966,YseultChalifour@rhyta.com,Lumblut,aCies9ohbo,49.904591, 5.115787
Isabelle Chrétien, Mandemakersstraat,428,8954,Westouter,0477 76 96 75,12/8/1978,IsabelleChretien@armyspy.com,Heeut1978,AeyeimoG5ai,50.83809, 2.660734
Brunella Bonami, Dijkstraat,367,3630,Eisden,0484 40 00 49,13/2/1951,BrunellaBonami@teleworm.us,Ablike,aeThuaV7Qua,51.087797, 5.762963
Fealty Beaudry, Hauwaart,342,3350,Melkwezer,0481 89 42 98,6/11/1983,FealtyBeaudry@dayrep.com,Sopupose1983,ehooGh1W,50.785051, 5.077461
Alphonsine Lagrange, Heirstraat,487,4570,Marchin,0489 35 39 28,29/4/1978,AlphonsineLagrange@dayrep.com,Reaunged78,quoF0Esor,50.522633, 5.251265
Marphisa Patel, Rue de Boneffe,94,6852,Opont,0497 18 88 25,13/11/1970,MarphisaPatel@rhyta.com,Witiceir,bae0Cheith,50.003396, 5.166218
Searlait Lavallée, Orchideeenlaan,332,9120,Melsele,0494 96 58 51,16/10/1975,SearlaitLavallee@rhyta.com,Plualked3,sekie1aaV,51.194018, 4.291842
Alaine Hervieux, Oostjachtpark,280,1341,Céroux-Mousty,0471 30 70 51,20/7/1952,AlaineHervieux@jourrapide.com,Serch1952,raiwooM3,50.703023, 4.734644
Astrid Laberge, Noordstraat,69,3840,Bommershoven,0496 69 95 97,23/12/1980,AstridLaberge@jourrapide.com,Thorry,tohXi1Oogh,50.817649, 5.286854
Jeanette Ratté, Rue Supexhe,333,9630,Sint-Denijs-Boekel,0489 20 89 63,12/7/1990,JeanetteRatte@rhyta.com,Werflefougs,che4Au0oor,50.889613, 3.709931
Azura Benoit, Rue Engeland,304,9400,Nederhasselt,0485 72 71 83,18/7/1999,AzuraBenoit@armyspy.com,Raveld,Oongee8no7H,50.883004, 4.026424
Patience Bazin, Route de Baschamps,90,7784,Bas-Warneton,0476 90 29 20,22/1/2000,PatienceBazin@dayrep.com,Penceff,phaRaeL7oo,50.839773, 3.012441
Arianne Desforges, Korte Noordsstraat,60,1480,Tubize,0491 52 89 30,10/4/1967,ArianneDesforges@rhyta.com,Thererace,nohhoh5Ae,50.73162, 4.213928
Gallia Plouffe, Rue de Vonêche,69,6534,Gozée,0471 78 84 81,9/9/1991,GalliaPlouffe@armyspy.com,Moroate,noo9ahB7t,50.404731, 4.421082
Daisi Doucet, Populierenstraat,307,4557,Abée,0470 83 96 41,7/8/2007,DaisiDoucet@dayrep.com,Cosper,taiL2betah,50.415857, 5.337448
Fifi Avare, Rue du Bourgmestre Dandoy,282,2491,Olmen,0497 38 86 36,2/4/1960,FifiAvare@rhyta.com,Appot1960,bo7thaht4Jae,51.201607, 5.058775
Cerise Leduc, Schietboompleinstraat,178,8880,Ledegem,0489 16 32 57,9/6/1973,CeriseLeduc@armyspy.com,Fraidess,vaeNah6cheiqu,50.929984, 3.100758
Cammile Briard, Perksesteenweg,83,5550,Mouzaive,0489 26 99 39,12/12/1972,CammileBriard@armyspy.com,Supostan,ua1qui3Jeas,49.893114, 5.029308
Galatee Crête, Chaussée de Liège,346,6640,Hompré,0473 11 01 99,20/4/1997,GalateeCrete@rhyta.com,Follut,shifuR3jaok,49.932701, 5.488021
Adorlee Gousse, Rue Henri Lambert,383,6960,Harre,0486 91 06 83,9/7/1992,AdorleeGousse@rhyta.com,Sulne1992,bee3Oove3X,50.366665, 5.734193
Yolande Francoeur, Avenue Emile Vandervelde,362,3370,Roosbeek,0481 77 20 01,12/4/1967,YolandeFrancoeur@rhyta.com,Washound,vahBei9y,50.777786, 4.93775
